Gene Symbol,Gene stable ID,Cardiomyocytes-specific ennhancer (GFP+ only),X30kGFPpos1,X30kGFPpos2,X30kGFPpos3,X500kGFPneg4,X500kGFPneg5,X500kGFPneg6,ucsc_url
smurf2,ENSDARG00000038067,chr3:25408932-25409454 (+61631); chr3:25381504-25382950 (+88597),64,0,105,487,579,629,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr3%3A25281947%2D25369557
smx5,ENSDARG00000070867,chr6:27783288-27783583 (-130430);,8545,0,1,65,123,118,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr6%3A28205284%2D28207746
smyd1b,ENSDARG00000091253,chr8:772849-773332 (-113176);,15814,0,20,37,36,100,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr8%3A1015243%2D1051527
smyd2a,ENSDARG00000055151,chr17:33001528-33001824 (-16479); chr17:32990480-32990775 (-5431),26,0,7,463,568,614,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr17%3A32745763%2D32779556
smyd3,ENSDARG00000058050,chr17:11911989-11912428 (+9374); chr17:11839574-11840080 (+81756),2,0,0,57,45,45,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr17%3A11728920%2D12058171
smyd5,ENSDARG00000071669,chr14:23594107-23594493 (+92437); chr14:23768703-23769068 (+267023); chr14:23939309-23939628 (+437606); chr14:24106516-24106960 (+604875); chr14:24365255-24365646 (+863588); chr14:24391170-24391518 (+889481); chr14:24422236-24422724 (+920617),0,0,12,149,107,85,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr14%3A22498757%2D22523799
snai1b,ENSDARG00000046019,chr23:2513604-2513959 (+13218);,24227,0,39,80,81,96,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr23%3A2502181%2D2513300
snai3,ENSDARG00000031243,chr7:56265488-56265812 (+197467); chr7:56224094-56224628 (+238756),0,0,0,0,1,0,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr7%3A55112922%2D55120300
snapc1a,ENSDARG00000029569,chr20:20347432-20347971 (+49225);,14930,0,0,27,21,34,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr20%3A20314574%2D20324792
snapc4,ENSDARG00000067673,chr5:52899732-52900660 (-22791);,5862,0,140,961,916,1243,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr5%3A51164440%2D51198521
snapc5,ENSDARG00000062476,chr18:19408259-19408702 (-136690);,20424,0,57,243,268,329,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr18%3A19487702%2D19491162
snd1,ENSDARG00000006766,chr4:18514012-18514307 (+114304);,584,0,229,1644,1846,2205,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr4%3A19396945%2D19694108
snip1,ENSDARG00000087528,chr16:36342868-36343277 (-3978);,14089,0,7,167,94,105,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr16%3A33930864%2D33937924
snrnp48,ENSDARG00000039989,chr16:39023955-39024410 (-630997);,14144,0,11,163,187,218,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr16%3A36974523%2D36979597
snrpb2,ENSDARG00000039424,chr1:52123585-52123894 (+80437); chr1:52123585-52123894 (+80437),4,0,13,342,316,356,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr1%3A51702087%2D51710340
snrpc,ENSDARG00000009871,chr6:54313317-54313772 (+75581);,9105,0,14,223,270,224,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr6%3A54430413%2D54433995
snx14,ENSDARG00000006332,chr20:884187-884635 (+33272);,14569,0,26,231,179,342,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr20%3A851583%2D894374
snx18a,ENSDARG00000067713,chr5:41915080-41915504 (+2137); chr5:41886931-41887334 (+30296),97,0,252,531,522,599,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr5%3A40272848%2D40292299
snx19a,ENSDARG00000061101,chr5:31982769-31983785 (+36591); chr5:31934566-31934927 (+85121); chr5:31871069-31871441 (+148613); chr5:31833214-31833511 (+186505),0,0,8,43,50,149,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr5%3A30351233%2D30380593
snx30,ENSDARG00000069601,chr10:4799215-4799654 (+165890);,26404,0,30,60,88,158,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr10%3A4940767%2D4961929
snx4,ENSDARG00000022659,chr9:39608663-39609117 (-31510); chr9:39645545-39645877 (+5311),7,0,71,248,264,361,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr9%3A38588081%2D38621202
snx9,ENSDARG00000069302,chr17:33291901-33292284 (-72015); chr17:33339706-33340077 (-24216),70,0,210,617,599,726,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr20%3A43016437%2D43079481
socs3a,ENSDARG00000025428,chr3:58221365-58221731 (+18301); chr3:58221365-58221731 (+18301); chr3:58180742-58181050 (+58953); chr3:58154275-58154736 (+85343); chr3:57850414-57850711 (+389286),0,0,0,0,0,0,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr3%3A57423137%2D57425961
socs3b,ENSDARG00000026611,chr12:37018079-37018386 (+31909);,21667,0,364,1707,1732,2006,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr12%3A34258139%2D34277465
socs5a,ENSDARG00000100717,chr12:26561509-26562015 (+31541);,21466,0,175,1001,1271,1455,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr12%3A25043156%2D25065916
socs5b,ENSDARG00000062745,chr13:7884154-7884605 (-100325); chr13:7912474-7912908 (-72014); chr13:7995713-7996197 (+11250),47,0,200,1111,1135,1234,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr13%3A8604710%2D8628038
sod2,ENSDARG00000042644,chr20:31010480-31010921 (+45615); chr20:31090684-31090980 (+125746),2,0,15,190,141,197,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr20%3A30937934%2D30947547
sorbs3,ENSDARG00000037476,chr8:39473983-39474329 (-30343);,16666,0,116,268,166,270,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr8%3A38318357%2D38406868
sord,ENSDARG00000053405,chr7:32228426-32228836 (+31789);,3886,0,1,71,46,73,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr7%3A30923283%2D30926030
sostdc1a,ENSDARG00000068892,chr15:33793600-33793913 (+69726);,23877,0,1,13,36,30,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr15%3A34562197%2D34567370
sostdc1b,ENSDARG00000056021,chr19:32394709-32395611 (+88044); chr19:32466193-32466664 (+159313); chr19:32489319-32489736 (+182412); chr19:32512365-32512728 (+205431),0,0,0,8,8,20,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr19%3A31061718%2D31063020
sox10,ENSDARG00000077467,chr3:2501660-2501989 (-49811);,6399,0,169,549,621,621,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr3%3A1492174%2D1501255
sox11a,ENSDARG00000077811,chr17:36519284-36519666 (-460740); chr17:36516591-36517101 (-458111); chr17:36399630-36399976 (-341068); chr17:36359632-36359980 (-301071); chr17:36220574-36221652 (-162378); chr17:36180482-36180842 (-121927); chr17:35990416-35990744 (+68155); chr17:35913212-35913594 (+145332); chr17:35908797-35909094 (+149789); chr17:35883401-35883815 (+175127); chr17:35675617-35675913 (+382970); chr17:35575279-35575639 (+483276),36,0,37,1116,1180,1451,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr17%3A35878544%2D35881841
sox11b,ENSDARG00000095743,chr20:30024696-30024992 (+36356); chr20:29978497-29978859 (+82522),0,0,0,1,3,0,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr20%3A30032628%2D30035326
sox14,ENSDARG00000070929,chr6:26310627-26310956 (-42681); chr6:26222579-26223112 (+45265); chr6:26176028-26176324 (+91935); chr6:26058110-26058435 (+209838),3,0,23,476,529,642,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr6%3A26557979%2D26559921
sox17,ENSDARG00000101717,chr7:65286198-65286546 (+5610); chr7:65145663-65145960 (+146170); chr7:65112074-65112491 (+179699); chr7:64890486-64891319 (+401079); chr7:64559705-64560039 (+732110),0,0,4,28,9,1,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr7%3A58772209%2D58776400
sox1a,ENSDARG00000069866,chr9:22654998-22655846 (-100657); chr9:22765793-22766277 (+9956),1,0,0,157,199,171,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr9%3A21722733%2D21724661
sox2,ENSDARG00000070913,chr22:40217443-40217769 (+118078); chr22:40121695-40122984 (+213344); chr22:40116521-40116854 (+218996),9,0,20,904,1141,1230,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr22%3A37347896%2D37349967
sox21a,ENSDARG00000031664,chr6:7254211-7254594 (-76685); chr6:7262348-7262643 (-68592),0,0,1,11,13,15,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr6%3A7414215%2D7415343
sox4a,ENSDARG00000004588,chr19:29554744-29555054 (-279825); chr19:29542291-29542586 (-267365); chr19:29178074-29178418 (+96828); chr19:29053203-29053501 (+221722); chr19:29047387-29047682 (+227539); chr19:28922348-28922799 (+352500),101,0,414,5904,7463,8428,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr19%3A28786149%2D28789409
sox6,ENSDARG00000015536,chr7:28437568-28437863 (+21300); chr7:28457402-28457700 (+41135),154,0,586,2082,2053,2565,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr7%3A27250012%2D27454645
sox7,ENSDARG00000030125,chr20:19194164-19194575 (+47083); chr20:19243680-19243975 (+96541),14,0,134,156,170,140,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr20%3A19066596%2D19080593
sox9a,ENSDARG00000003293,chr12:2642920-2643259 (-485727); chr12:2154642-2155047 (+2518); chr12:1967150-1967996 (+189790); chr12:1730249-1730621 (+426928),137,0,472,4277,4653,4755,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr12%3A1947593%2D1951284
sox9b,ENSDARG00000043923,chr3:63231684-63232066 (-47423);,7925,0,433,2707,3147,3654,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr3%3A62521041%2D62527696
sp8b,ENSDARG00000056666,chr16:21034510-21034878 (-459226); chr16:21182562-21182857 (-311210); chr16:21211612-21212056 (-282086); chr16:21408210-21408522 (-85554),0,0,4,157,115,95,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr16%3A19536614%2D19538776
spag7,ENSDARG00000011555,chr5:70806038-70806471 (+110421);,6221,0,9,239,194,267,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr5%3A68059924%2D68074592
spam1,ENSDARG00000004199,chr25:28250369-28250720 (+158215); chr25:27980273-27980653 (+428297); chr25:27927216-27927511 (+481396); chr25:27865303-27865603 (+543307),0,0,0,4,4,0,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr25%3A27531874%2D27541621
sparcl1,ENSDARG00000074989,chr1:37338609-37338904 (+97133);,11516,0,8,208,236,192,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr1%3A37391141%2D37419873
spata2,ENSDARG00000063250,chr23:3535915-3536278 (+9232); chr23:3557276-3557571 (+30559),14,0,36,243,328,268,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr23%3A3513201%2D3521123
spata6,ENSDARG00000021115,chr8:16296413-16296812 (-474134); chr8:15911276-15911571 (-88945),7,0,7,94,162,81,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr8%3A15287424%2D15305528
spcs3,ENSDARG00000089976,chr1:39223623-39223928 (+51026);,11532,0,22,252,265,399,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr1%3A38818268%2D38822167
spint1b,ENSDARG00000012467,chr20:3304271-3304718 (-37779);,14625,0,10,146,190,244,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr20%3A3218893%2D3238110
spns2,ENSDARG00000061017,chr5:32409538-32409915 (+153637);,5277,0,48,424,404,449,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr5%3A30802798%2D30924453
spns3,ENSDARG00000035459,chr5:32627504-32627816 (-4633);,5279,0,3,24,30,9,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr5%3A30956981%2D30984271
spock3,ENSDARG00000070266,chr1:19522072-19522367 (+105701);,11218,0,19,423,541,500,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr1%3A20635190%2D20706296
spon1a,ENSDARG00000010029,chr18:28800981-28801277 (-108227); chr18:28660594-28660906 (+32152); chr18:28583619-28584016 (+109084),1,0,6,129,96,190,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr18%3A28564640%2D28880191
spon1b,ENSDARG00000023694,chr25:15682234-15682529 (-322667); chr25:16078748-16079212 (+73931); chr25:16096751-16097055 (+91854),65,0,109,465,687,777,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr25%3A15647750%2D15800834
spon2b,ENSDARG00000002732,chr14:15209066-15209361 (-124); chr14:15254421-15254716 (+45231); chr14:15284696-15285138 (+75579); chr14:15308436-15309247 (+99504); chr14:15316936-15318371 (+108316); chr14:15373349-15373703 (+164188),0,0,41,81,200,123,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr14%3A17376940%2D17382534
spop,ENSDARG00000100519,chr3:20756836-20757167 (-49857); chr3:20547425-20547720 (+159572); chr3:20094183-20094479 (+612814),10,0,33,667,837,990,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr3%3A20658203%2D20793656
spoplb,ENSDARG00000003974,chr11:34492848-34493230 (-161524); chr11:34682510-34682805 (+28095),1,0,26,532,408,484,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr11%3A33818179%2D33842715
spred2,ENSDARG00000052435,chr13:5543580-5543900 (+70346); chr13:5504681-5504976 (+109257); chr13:5251192-5251532 (+362724),117,0,193,3667,3955,4434,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr1%3A51444549%2D51474974
spry2,ENSDARG00000078308,chr1:3417810-3418147 (-755270); chr1:4229558-4229854 (+56457),17,0,103,659,891,1078,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr1%3A5273481%2D5277583
spry4,ENSDARG00000068732,chr21:42689328-42689634 (+480041);,26261,0,278,1020,1270,1357,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr21%3A44684577%2D44691068
spryd3,ENSDARG00000101982,chr23:36517987-36518397 (+120141);,24972,0,64,315,428,599,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr23%3A36497518%2D36592436
spsb1,ENSDARG00000056515,chr23:22791306-22792185 (+25699); chr23:22631043-22631338 (+186254),4,0,60,354,484,413,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr23%3A22496314%2D22523303
spsb4a,ENSDARG00000016084,chr2:39398260-39398641 (-44176);,10367,0,16,348,402,493,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr2%3A39584066%2D39675829
sptb,ENSDARG00000030490,chr17:38644711-38645152 (-96090);,17778,0,248,1468,1395,1769,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr17%3A38566717%2D38599022
sptlc1,ENSDARG00000042995,chr10:5349144-5349531 (+111592);,26419,0,26,150,89,160,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr10%3A5234327%2D5265160
sra1,ENSDARG00000053619,chr21:42229873-42230323 (-57954);,26243,0,1,70,64,22,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr21%3A43882274%2D43891419
src,ENSDARG00000008107,chr23:39577476-39578336 (+85452);,25027,0,141,317,301,433,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr23%3A39346774%2D39450700
srd5a1,ENSDARG00000020509,chr19:28345311-28345606 (-1761); chr19:28324684-28325050 (+18831),10,0,8,65,24,26,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr19%3A27836913%2D27858033
srebf1,ENSDARG00000067607,chr3:62710893-62711348 (+37883);,7907,0,122,983,999,1272,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr3%3A62064805%2D62087346
srp9,ENSDARG00000042851,chr20:36609066-36610092 (-38831);,15331,0,5,78,124,158,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr20%3A36623807%2D36626569
srpk1b,ENSDARG00000031560,chr11:2734268-2734563 (-7660); chr11:2780208-2780504 (+38280),59,0,49,1249,1219,1377,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr11%3A2763168%2D2826562
ssbp3a,ENSDARG00000058237,chr2:10804565-10804860 (+13831);,9510,0,6,138,101,126,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr2%3A10934479%2D11027410
ssh2,ENSDARG00000088440,chr15:27910451-27910779 (+7236);,23720,0,254,519,741,754,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr15%3A28545143%2D28587490
ssr2,ENSDARG00000005230,chr19:11722017-11722312 (+6730); chr19:11697268-11697563 (+31479); chr19:11666102-11666542 (+62573); chr19:11614168-11614478 (+114572),23,0,182,1093,947,863,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr19%3A11231083%2D11238721
sst1.1,ENSDARG00000040799,chr15:35526633-35527032 (+101999); chr15:35694143-35694456 (+269466); chr15:35797866-35798161 (+373180); chr15:35941228-35941679 (+516620),0,0,0,47,79,43,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr15%3A36156986%2D36158851
st6galnac3,ENSDARG00000058473,chr2:8892112-8892606 (+381522);,9454,0,8,235,337,211,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr2%3A9330146%2D9489611
st6galnac4,ENSDARG00000100804,chr21:4216367-4216765 (-116584);,25296,0,1,2,10,5,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr21%3A3840955%2D3853204
st8sia2,ENSDARG00000018788,chr18:24930460-24930755 (-95067);,20522,0,0,283,327,259,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr18%3A25027495%2D25051846
st8sia4,ENSDARG00000103600,chr10:7688386-7688732 (-14502);,26429,0,15,148,212,167,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr10%3A5667401%2D5684326
stab2,ENSDARG00000045748,chr4:9807641-9808167 (-11421); chr4:9829735-9831033 (+11059); chr4:9833036-9834178 (+14282); chr4:9862386-9862682 (+43209),14,0,8,145,185,157,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr4%3A10721795%2D10763547
stam,ENSDARG00000002127,chr2:31099930-31100278 (-53165);,9976,0,194,1159,1272,1612,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr2%3A31437547%2D31452606
stap2b,ENSDARG00000043281,chr8:19334446-19334742 (-142452);,16183,0,17,95,107,91,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr8%3A18650414%2D18667693
stard3nl,ENSDARG00000045421,chr2:31592294-31592604 (+36127);,9996,0,15,134,159,127,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr2%3A31838442%2D31853345
stat1a,ENSDARG00000006266,chr22:12988523-12988820 (+50753); chr22:12990313-12990670 (+52573),293,0,606,2461,2560,3093,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr22%3A12798569%2D12826962
stat3,ENSDARG00000022712,chr3:16605158-16605502 (-45316); chr3:16663707-16664044 (+13230),101,0,555,2315,2481,2481,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr3%3A17030665%2D17107445
stau1,ENSDARG00000044182,chr6:46430926-46431221 (+62016);,8942,0,273,2587,2599,2918,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr6%3A46431848%2D46454823
stau2,ENSDARG00000026801,chr24:12939232-12940102 (+17840); chr24:12969693-12970145 (+48092); chr24:13115902-13116198 (+194223); chr24:13124755-13125873 (+203487); chr24:13133674-13134155 (+212088),89,0,267,2107,2601,2808,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr24%3A13017586%2D13240057
stc1l,ENSDARG00000058476,chr10:43976189-43976869 (+73658);,27338,0,21,195,240,242,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr10%3A42677891%2D42685512
stim1a,ENSDARG00000060723,chr15:37033134-37033429 (+113675); chr15:37353125-37353420 (+433666); chr15:37372029-37372353 (+452584); chr15:37379949-37380304 (+460520),2,0,138,722,501,637,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr15%3A38221038%2D38300598
stim1b,ENSDARG00000061560,chr21:29691347-29691736 (+3598);,25977,0,37,63,27,30,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr21%3A30841241%2D30935262
stk25a,ENSDARG00000002210,chr6:26739418-26740891 (+25736); chr6:26672822-26673198 (+92881),54,0,33,192,204,292,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr6%3A27041594%2D27057702
stk25b,ENSDARG00000039022,chr2:22079146-22080499 (+14481); chr2:22060031-22060367 (+34105); chr2:22051556-22051938 (+42557),1,0,29,224,292,246,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr2%3A22617675%2D22636721
stk35,ENSDARG00000086856,chr23:42010046-42010341 (+23200); chr23:41464752-41465084 (+568476); chr23:41354252-41355315 (+678610); chr23:41297882-41299108 (+734899),19,0,68,623,553,867,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr23%3A41739721%2D41762956
stk35l,ENSDARG00000057497,chr6:38757459-38757774 (-18944);,8733,0,297,2063,2492,2732,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr6%3A38845676%2D38861349
stk40,ENSDARG00000098135,chr16:40766671-40766966 (-531101); chr16:40485465-40485926 (-249978); chr16:40393963-40394354 (-158441); chr16:40212418-40212724 (+23147); chr16:40014402-40014698 (+221168),96,0,420,2384,2373,2942,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr16%3A36038130%2D36064143
stmn1a,ENSDARG00000004169,chr19:16647746-16648061 (-6521); chr19:16211488-16211783 (+429747); chr19:15819639-15820095 (+821516); chr19:15739084-15739960 (+901861),2,0,37,457,519,421,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr19%3A17205143%2D17210928
stmn4,ENSDARG00000030106,chr20:34847380-34847771 (-21850);,15291,0,8,194,231,205,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr20%3A34773646%2D34868814
stoml1,ENSDARG00000062142,chr25:23001090-23001385 (-3559);,30961,0,3,51,63,90,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr25%3A22281441%2D22292901
stox1,ENSDARG00000062593,chr13:18409837-18410133 (-110534);,19379,0,163,577,653,678,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr13%3A18471546%2D18504243
stt3b,ENSDARG00000001890,chr16:42192676-42192972 (-48550); chr16:42085137-42085435 (+58988),46,0,114,1919,2365,2342,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr16%3A39385483%2D39477746
stub1,ENSDARG00000045228,chr24:41212404-41212730 (-17231); chr24:41490700-41490995 (+261050); chr24:41524071-41524511 (+294493),9,0,54,251,389,470,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr24%3A39656834%2D39667465
stx11a,ENSDARG00000044039,chr17:7540539-7540835 (+32226);,17136,0,60,61,28,31,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr17%3A7727464%2D7733037
stx11b.2,ENSDARG00000042231,chr20:26537618-26539599 (+28159);,15066,0,29,2,20,1,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr20%3A26535342%2D26537171
stx12,ENSDARG00000098813,chr19:30330366-30330706 (+43734); chr19:30300972-30301267 (+73150); chr19:30277573-30277934 (+96516),5,0,14,110,163,217,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr19%3A13905068%2D13923104
stx5a,ENSDARG00000025033,chr14:8469340-8469665 (-95506);,18267,0,104,353,515,446,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr14%3A8594367%2D8616663
stx8,ENSDARG00000103173,chr6:18167993-18168390 (+67947);,8471,0,2,22,37,57,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr6%3A19689464%2D19802580
stxbp2,ENSDARG00000007603,chr3:53914200-53914495 (+35764);,7713,0,170,207,270,351,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr3%3A53240562%2D53274285
stxbp3,ENSDARG00000008142,chr23:1675212-1675557 (-18877);,24217,0,24,122,114,174,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr23%3A1661743%2D1698431
stxbp6,ENSDARG00000088862,chr17:51302442-51302787 (-26940);,17989,0,65,34,40,54,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr17%3A50798484%2D50841285
sucla2,ENSDARG00000005359,chr6:10068975-10070329 (+121725);,8141,0,81,1116,1176,1218,https://genome.ucsc.edu/s/nimt0001/GFP%2B%20ChIP%2DSeq?position=chr6%3A10037252%2D10056640
